id,name,is_transparent,is_solid,front_tex,back_tex,left_tex,right_tex,top_tex,bottom_tex,hardness,drop_id,emits_light,light_level,block_type
0,Air,1,0,0,0,0,0,0,0,0,0,0,0,0
1,Stone,0,1,1,1,1,1,1,1,1.5,1,0,0,0
2,Dirt,0,1,2,2,2,2,2,2,0.5,2,0,0,0
3,GrassBlock,0,1,3,3,3,3,0,2,0.6,2,0,0,0
4,Wood,0,1,20,20,20,20,21,21,1,4,0,0,0
5,Leaves,1,1,52,52,52,52,52,52,0.3,0,0,0,0
6,Glass,1,1,67,67,67,67,67,67,0,0,0,0,0
7,Snow,0,1,68,68,68,68,66,2,0.6,2,0,0,0
8,Sand,0,1,18,18,18,18,18,18,0,0,0,0,0
9,Brick,0,1,70,70,70,70,70,70,0.5,2,0,0,0
10,Plank,0,1,4,4,4,4,4,4,0.5,2,0,0,0
11,Light,0,1,15,15,15,15,15,15,0.5,2,0,15,0
12,Water,0,1,15,15,15,15,15,15,0.5,2,0,0,0
13,Rose,1,0,12,12,12,12,12,12,0,0,0,0,1 
14,Grass,1,0,85,85,85,85,85,85,0,0,0,0,1 
